teksti,lauseiden_lkm,tokeneita,uniikit_norm,uniikit_lemma,lp_ka,lp_mediaani,lp_sd,lp_min,lp_max,ttr,ttr2,chi2,chi2_p,chi2_df,lausepituudet_json,sanaluokat_json,sanaluokat_pct_json,top10_lemmat_json,top5_pos_pct_json
ihmistxt,95,1067,779,570,11.2316,9.0,7.2397,2,41,0.7301,0.5342,68.1448,0.0,11,"[2, 5, 7, 21, 6, 22, 18, 4, 17, 11, 8, 7, 8, 7, 10, 5, 13, 22, 12, 19, 41, 38, 5, 5, 4, 5, 5, 3, 10, 15, 13, 15, 11, 9, 18, 11, 10, 13, 11, 7, 11, 9, 5, 10, 6, 17, 11, 11, 9, 6, 4, 4, 5, 5, 7, 13, 5, 8, 17, 14, 24, 13, 20, 19, 8, 5, 8, 12, 12, 8, 6, 8, 6, 5, 7, 4, 8, 18, 15, 13, 6, 6, 3, 25, 15, 33, 7, 5, 9, 16, 14, 19, 4, 17, 19]","{""NOUN"": 375, ""ADP"": 16, ""AUX"": 72, ""ADJ"": 114, ""PUNCT"": 210, ""VERB"": 196, ""ADV"": 79, ""PRON"": 115, ""CCONJ"": 69, ""SCONJ"": 27, ""PROPN"": 1, ""NUM"": 3}","{""NOUN"": 29.3657, ""ADP"": 1.2529, ""AUX"": 5.6382, ""ADJ"": 8.9272, ""PUNCT"": 16.4448, ""VERB"": 15.3485, ""ADV"": 6.1864, ""PRON"": 9.0055, ""CCONJ"": 5.4033, ""SCONJ"": 2.1143, ""PROPN"": 0.0783, ""NUM"": 0.2349}","[{""lemma"": ""ja"", ""n"": 59}, {""lemma"": ""olla"", ""n"": 48}, {""lemma"": ""se"", ""n"": 42}, {""lemma"": ""hän"", ""n"": 26}, {""lemma"": ""voida"", ""n"": 12}, {""lemma"": ""ei"", ""n"": 12}, {""lemma"": ""kuin"", ""n"": 11}, {""lemma"": ""virta"", ""n"": 11}, {""lemma"": ""silta"", ""n"": 10}, {""lemma"": ""työ"", ""n"": 10}]","[{""upos"": ""NOUN"", ""pct"": 29.3657}, {""upos"": ""PUNCT"", ""pct"": 16.4448}, {""upos"": ""VERB"", ""pct"": 15.3485}, {""upos"": ""PRON"", ""pct"": 9.0055}, {""upos"": ""ADJ"", ""pct"": 8.9272}]"
aitxt,104,946,583,418,9.0962,7.0,6.0105,2,31,0.6163,0.4419,68.1448,0.0,11,"[2, 4, 25, 17, 16, 12, 6, 3, 2, 15, 3, 20, 4, 9, 5, 24, 31, 2, 3, 9, 11, 20, 9, 6, 2, 4, 3, 3, 7, 4, 6, 4, 2, 8, 9, 3, 25, 12, 6, 5, 3, 12, 3, 3, 11, 14, 12, 14, 8, 3, 9, 7, 9, 8, 6, 14, 6, 9, 4, 7, 17, 13, 6, 14, 8, 14, 15, 9, 10, 3, 5, 7, 2, 13, 6, 13, 17, 7, 18, 18, 2, 7, 8, 11, 7, 7, 4, 4, 3, 21, 5, 14, 7, 16, 10, 20, 5, 6, 7, 7, 5, 8, 13, 11]","{""NOUN"": 249, ""ADP"": 15, ""ADJ"": 71, ""AUX"": 76, ""PUNCT"": 243, ""PRON"": 124, ""CCONJ"": 47, ""ADV"": 95, ""VERB"": 194, ""PROPN"": 25, ""NUM"": 6, ""SCONJ"": 44}","{""NOUN"": 20.942, ""ADP"": 1.2616, ""ADJ"": 5.9714, ""AUX"": 6.3919, ""PUNCT"": 20.4373, ""PRON"": 10.4289, ""CCONJ"": 3.9529, ""ADV"": 7.9899, ""VERB"": 16.3162, ""PROPN"": 2.1026, ""NUM"": 0.5046, ""SCONJ"": 3.7006}","[{""lemma"": ""olla"", ""n"": 48}, {""lemma"": ""se"", ""n"": 36}, {""lemma"": ""hän"", ""n"": 27}, {""lemma"": ""ei"", ""n"": 26}, {""lemma"": ""ja"", ""n"": 25}, {""lemma"": ""kuin"", ""n"": 20}, {""lemma"": ""virta"", ""n"": 20}, {""lemma"": ""aila"", ""n"": 17}, {""lemma"": ""joka"", ""n"": 16}, {""lemma"": ""mutta"", ""n"": 14}]","[{""upos"": ""NOUN"", ""pct"": 20.942}, {""upos"": ""PUNCT"", ""pct"": 20.4373}, {""upos"": ""VERB"", ""pct"": 16.3162}, {""upos"": ""PRON"", ""pct"": 10.4289}, {""upos"": ""ADV"", ""pct"": 7.9899}]"
